[2026-05-26 17:09:53] | User: admin        | Action: LOGIN                        | Successfully logged in.
[2026-05-26 17:12:53] | User: admin        | Action: LOGOUT                       | Admin logged out.
[2026-05-26 17:16:18] | User: john         | Action: LOGIN                        | Successfully logged in.
[2026-05-26 17:22:25] | User: jane         | Action: Logged In                    | 
[2026-05-26 17:24:25] | User: admin        | Action: Logged In                    | 
[2026-05-26 17:24:54] | User: admin        | Action: Price Updated                | product=pen, new_price=1.5
[2026-05-26 17:25:29] | User: Admin        | Action: Logged In                    | 
[2026-05-26 17:25:51] | User: admin        | Action: Price Updated                | product=notebook, new_price=2.0
[2026-05-26 17:26:05] | User: admin        | Action: Price Updated                | product=eraser, new_price=0.5
[2026-05-26 17:26:32] | User: admin        | Action: Price Updated                | product=pen, new_price=1.5
[2026-05-26 17:26:55] | User: emma         | Action: Failed Login Attempt         | 
[2026-05-26 17:27:13] | User: emma         | Action: Account Created              | role=customer
[2026-05-26 17:27:36] | User: emma         | Action: Logged In                    | 
[2026-05-26 17:29:01] | User: emma         | Action: Order Created                | product=Pen, qty=2, total=3.00
[2026-05-26 17:29:01] | User: emma         | Action: Order Created                | product=Eraser, qty=3, total=1.50
[2026-05-26 17:29:17] | User: admin,       | Action: Failed Login Attempt         | 
[2026-05-26 17:29:20] | User: admin        | Action: Logged In                    | 
[2026-05-26 17:29:30] | User: admin        | Action: Stock Updated                | product=pen, new_stock=3
[2026-05-26 17:29:47] | User: john         | Action: Logged In                    | 
[2026-05-26 17:30:25] | User: john         | Action: Order Created                | product=Pen, qty=3, total=4.50
[2026-05-26 17:30:51] | User: admin        | Action: Logged In                    | 
[2026-05-26 17:31:03] | User: admin        | Action: Stock Updated                | product=pen, new_stock=150
[2026-05-26 17:32:26] | User: emma         | Action: Logged In                    | 
[2026-05-26 17:32:44] | User: emma         | Action: Order Created                | product=Pen, qty=35, total=52.50
[2026-05-26 17:35:24] | User: admin        | Action: Logged In                    | 
[2026-05-26 17:37:00] | User: admin        | Action: Product Added                | product=Scissors, price=3.5, stock=86
[2026-05-26 17:37:32] | User: emma         | Action: Logged In                    | 
[2026-05-26 17:37:57] | User: emma         | Action: Order Created                | product=Scissors, qty=2, total=7.00
[2026-05-26 17:44:49] | User: emma         | Action: Logged In                    | 
[2026-05-26 17:46:47] | User: emma         | Action: Order Created                | product=Eraser, qty=10, total=5.00
[2026-05-26 17:48:40] | User: admin        | Action: Logged In                    | 
[2026-05-26 17:49:39] | User: admin        | Action: Logged In                    | 
[2026-05-26 17:49:58] | User: admin        | Action: Stock Updated                | product=notebook, new_stock=65
